Day,Number of Bicycle Hires
01/01/2019,14148
02/01/2019,19746
03/01/2019,21552
04/01/2019,20863
05/01/2019,13907
06/01/2019,14262
07/01/2019,25668
08/01/2019,27757
09/01/2019,26568
10/01/2019,26022
11/01/2019,26378
12/01/2019,16750
13/01/2019,16304
14/01/2019,28097
15/01/2019,29413
16/01/2019,24500
17/01/2019,26053
18/01/2019,25525
19/01/2019,16653
20/01/2019,16803
21/01/2019,26567
22/01/2019,23083
23/01/2019,25406
24/01/2019,24357
25/01/2019,24198
26/01/2019,15062
27/01/2019,10596
28/01/2019,25859
29/01/2019,24732
30/01/2019,25482
31/01/2019,23487
01/02/2019,12841
02/02/2019,14136
03/02/2019,14637
04/02/2019,18254
05/02/2019,25682
06/02/2019,26197
07/02/2019,26703
08/02/2019,17468
09/02/2019,17439
10/02/2019,10800
11/02/2019,27439
12/02/2019,28786
13/02/2019,29145
14/02/2019,29270
15/02/2019,28838
16/02/2019,20560
17/02/2019,24383
18/02/2019,23815
19/02/2019,28927
20/02/2019,28971
21/02/2019,30474
22/02/2019,29703
23/02/2019,29242
24/02/2019,26092
25/02/2019,31480
26/02/2019,34996
27/02/2019,35420
28/02/2019,27219
01/03/2019,28255
02/03/2019,22795
03/03/2019,9641
04/03/2019,26532
05/03/2019,29701
06/03/2019,25449
07/03/2019,24884
08/03/2019,23635
09/03/2019,19951
10/03/2019,12111
11/03/2019,27725
12/03/2019,21718
13/03/2019,26816
14/03/2019,23699
15/03/2019,26123
16/03/2019,14594
17/03/2019,14390
18/03/2019,27824
19/03/2019,27683
20/03/2019,30485
21/03/2019,31307
22/03/2019,28229
23/03/2019,25897
24/03/2019,27408
25/03/2019,31215
26/03/2019,31955
27/03/2019,31263
28/03/2019,32315
29/03/2019,35321
30/03/2019,33026
31/03/2019,20325
01/04/2019,31834
02/04/2019,24529
03/04/2019,27059
04/04/2019,25493
05/04/2019,27536
06/04/2019,20423
07/04/2019,16897
08/04/2019,26527
09/04/2019,25534
10/04/2019,31699
11/04/2019,30961
12/04/2019,27403
13/04/2019,19856
14/04/2019,20896
15/04/2019,30837
16/04/2019,31842
17/04/2019,37203
18/04/2019,36574
19/04/2019,36505
20/04/2019,38712
21/04/2019,36686
22/04/2019,35435
23/04/2019,34948
24/04/2019,34593
25/04/2019,34494
26/04/2019,32006
27/04/2019,18379
28/04/2019,22631
29/04/2019,33748
30/04/2019,38908
01/05/2019,37952
02/05/2019,32563
03/05/2019,28182
04/05/2019,19806
05/05/2019,22896
06/05/2019,22472
07/05/2019,34646
08/05/2019,20276
09/05/2019,28404
10/05/2019,34078
11/05/2019,25475
12/05/2019,31836
13/05/2019,37537
14/05/2019,39647
15/05/2019,39054
16/05/2019,38408
17/05/2019,29846
18/05/2019,28138
19/05/2019,26727
20/05/2019,36072
21/05/2019,41251
22/05/2019,40312
23/05/2019,41314
24/05/2019,37280
25/05/2019,33151
26/05/2019,26802
27/05/2019,28309
28/05/2019,34443
29/05/2019,31203
30/05/2019,39450
31/05/2019,39017
01/06/2019,40800
02/06/2019,33865
03/06/2019,37306
04/06/2019,31948
05/06/2019,38033
06/06/2019,38141
07/06/2019,25122
08/06/2019,26656
09/06/2019,29311
10/06/2019,13358
11/06/2019,34285
12/06/2019,25449
13/06/2019,26617
14/06/2019,33837
15/06/2019,28235
16/06/2019,26102
17/06/2019,38894
18/06/2019,29854
19/06/2019,33190
20/06/2019,38345
21/06/2019,38656
22/06/2019,36858
23/06/2019,30851
24/06/2019,38617
25/06/2019,38200
26/06/2019,39620
27/06/2019,41692
28/06/2019,39986
29/06/2019,38616
30/06/2019,33990
01/07/2019,39257
02/07/2019,42658
03/07/2019,43924
04/07/2019,44668
05/07/2019,42466
06/07/2019,34018
07/07/2019,29889
08/07/2019,39670
09/07/2019,41447
10/07/2019,42343
11/07/2019,41916
12/07/2019,41305
13/07/2019,36204
14/07/2019,27858
15/07/2019,39489
16/07/2019,43693
17/07/2019,41959
18/07/2019,34240
19/07/2019,25620
20/07/2019,31351
21/07/2019,33251
22/07/2019,40842
23/07/2019,44457
24/07/2019,42296
25/07/2019,39323
26/07/2019,31517
27/07/2019,19950
28/07/2019,29319
29/07/2019,41472
30/07/2019,27449
31/07/2019,38299
01/08/2019,39898
02/08/2019,38278
03/08/2019,39388
04/08/2019,34341
05/08/2019,34041
06/08/2019,39369
07/08/2019,37776
08/08/2019,40667
09/08/2019,30719
10/08/2019,25956
11/08/2019,29952
12/08/2019,29570
13/08/2019,39534
14/08/2019,19154
15/08/2019,38018
16/08/2019,23388
17/08/2019,29360
18/08/2019,24122
19/08/2019,33048
20/08/2019,39255
21/08/2019,38251
22/08/2019,38056
23/08/2019,35995
24/08/2019,30776
25/08/2019,31355
26/08/2019,33150
27/08/2019,37597
28/08/2019,36576
29/08/2019,38337
30/08/2019,37147
31/08/2019,30847
01/09/2019,29486
02/09/2019,35280
03/09/2019,37229
04/09/2019,33933
05/09/2019,36722
06/09/2019,31798
07/09/2019,28038
08/09/2019,27969
09/09/2019,29440
10/09/2019,36814
11/09/2019,35787
12/09/2019,38252
13/09/2019,37354
14/09/2019,34966
15/09/2019,33698
16/09/2019,32747
17/09/2019,39025
18/09/2019,38751
19/09/2019,38271
20/09/2019,37699
21/09/2019,36479
22/09/2019,24154
23/09/2019,30941
24/09/2019,21563
25/09/2019,32427
26/09/2019,28976
27/09/2019,29557
28/09/2019,24960
29/09/2019,15478
30/09/2019,27787
01/10/2019,24631
02/10/2019,33923
03/10/2019,32707
04/10/2019,32314
05/10/2019,26578
06/10/2019,21690
07/10/2019,28418
08/10/2019,32894
09/10/2019,34874
10/10/2019,35641
